Date,Open,High,Low,Close,Volume
2020.11.20,17902.3,18779.9,17677.7,18548.7,24878
2020.11.21,18534.9,18548.7,18534.9,18548.7,4
2020.11.22,18534.9,18534.9,18534.9,18534.9,2
2020.11.23,18550.1,18741.3,17961.1,18382.9,19479
2020.11.24,18380.2,19396.1,18032.2,18892,22547
2020.11.25,18897.5,19445.64,18601.1,18830,14881
2020.11.26,18830,18874.9,16179.4,17006.8,27649
2020.11.27,17006.8,17424,16394.8,16986.25,21641
2020.11.28,16974,16974,16974,16974,1
2020.11.29,16986.25,16986.25,16986.25,16986.25,1
2020.11.30,18235.92,19234.8,18037.3,19234.8,13932
2020.12.01,19299.46,19909.28,18080.16,19044.28,356767
2020.12.02,19079.78,19344.36,18331.87,19150.06,289640
2020.12.03,19189.06,19626.87,18868.04,19458.14,273737
2020.12.04,19299.9,19448.72,18660.51,18796.29,36426
2020.12.07,19234.81,19433.59,18900.18,19077.98,12860
2020.12.08,19079.98,19293.74,18594.51,18761.33,13390
2020.12.09,18778.31,18816.27,17718.48,18499.62,15806
2020.12.10,18502.62,18604.5,17911.27,18328.81,13811
2020.12.11,18329.81,18385.74,17605.6,18092.07,17115
2020.12.14,19173.88,19323.71,18983.09,19182.87,12490
2020.12.15,19176.87,19574.44,19045.02,19423.6,12429
2020.12.16,19424.6,21251.35,19292.75,21122.73,22227
2020.12.17,21198,23691,21089.77,22718.97,77683
2020.12.18,22779,23265,22334.4,22871.8,72870
2020.12.21,23327.3,24081,21885.89,23095.56,68031
2020.12.22,23130,23589,22319.41,23405.22,72564
2020.12.23,23429,24104.45,22808,23262.37,70132
2020.12.24,23286,23529,22618,23359.27,76934
2020.12.28,26348.97,27405.81,26037.32,26586.71,35697
2020.12.29,26570.99,27095.15,25826.55,26805.47,21484
2020.12.30,26884.99,28940.12,26805.47,28845.23,32611
2020.12.31,28886.99,29248.78,27542.66,28911.15,30411
2021.01.01,28912.15,29582.41,28680.41,29196.84,22144
2021.01.04,33494.11,33618.29,28504.6,30944.91,51294
2021.01.05,31027.99,34234.29,29863.11,33735.84,55757
2021.01.06,33735.84,36420.88,33294.33,35856.51,51290
2021.01.07,35923.99,40341.58,35711.66,39616.37,53336
2021.01.08,39734.99,41922.83,36519.78,39840.13,62289
2021.01.09,39979.97,41357.46,38665.42,40740.14,51537
2021.01.10,40742.13,41341.47,35226.21,38048.1,46062
2021.01.11,38048.1,38959.1,30609.3,34024.54,66634
2021.01.12,33964.99,36615.68,32486.23,34735.75,60052
2021.01.13,34711.99,37349.87,32408.32,37227.01,54828
2021.01.14,37279.99,39964,36639.66,38743.34,45961
2021.01.15,38748.99,39664.33,34470.05,36276.06,53542
2021.01.16,36237.1,37950.21,35519.89,35901.47,46768
2021.01.17,35901.47,36892.38,33839.74,36562.74,50746
2021.01.18,36562.74,37502.71,34811.67,36261.07,46025
2021.01.19,36226.99,37902.27,36081.27,36472.84,41124
2021.01.20,36470.99,36779.5,33322.31,34904.57,48890
2021.01.21,34906.99,35637.76,30989.88,31222.62,56411
2021.01.22,31205.99,33819.76,28967.1,33379.25,59197
2021.01.23,33346.28,33640.96,31414.41,32331.4,52655
2021.01.24,32331.4,33121.53,30984.88,31958.81,45785
2021.01.25,31955.81,34868.61,31744.47,32697,46484
2021.01.26,32698.99,32784.9,30849.03,31988.78,54381
2021.01.27,31993.99,32921.75,29258.78,31000.87,52597
2021.01.28,30997.99,33255.38,29893.09,33148.5,51185
2021.01.29,33238.99,38663.43,31967.8,34683.81,60566
2021.01.30,34606.89,35316.11,32798.89,34685.81,57530
2021.01.31,34685.81,34800.68,32200.54,32586.12,46383
2021.02.01,32575.13,34673.82,32305.43,33630.97,46904
2021.02.02,33654.99,36021.34,33471.15,35718.67,41911
2021.02.03,35669.99,37395.82,35440.97,37250.98,36165
2021.02.04,37272.99,38700.38,36188.15,37608.59,46103
2021.02.05,37673.99,38328.79,36550.75,37775.4,39674
2021.02.06,37774.4,40944.91,37623.57,40083.86,37828
2021.02.07,40077.87,40465.44,37321.9,38512.59,38651
2021.02.08,38508.6,44752.72,37961.2,44648.83,41381
2021.02.09,44664.99,48228.89,44259.26,47298.91,51976
2021.02.10,47305.99,47322.88,43730.84,44990.45,49924
2021.02.11,45028.99,48505.58,43906.65,46849.41,48064
2021.02.12,46913.99,48891.16,45900.45,47789.37,41814
2021.02.13,47851.31,48144.98,46204.11,47074.16,35083
2021.02.14,47069.16,49603.37,46830.42,48778.28,29702
2021.02.15,48783.28,49233.78,45679.69,48124,35127
2021.02.16,48190.99,50393.5,46999.24,48493.59,39668
2021.02.17,48568.99,52518.16,48426.67,52317.38,38605
2021.02.18,52380.99,52480.2,50830.02,51982.75,30404
2021.02.19,52019.99,56188.12,50706.16,55383.01,33412
2021.02.20,55502.88,57420.76,54983.45,56402.88,39430
2021.02.21,56402.88,58249.85,53940.6,57215.98,38513
2021.02.22,57220.98,57588.99,48198.91,54785.66,49671
